cz;it
ahoj;ciao;1
děkuju;grazie;1
ano;sì;1
ne;no;1
prosím;per favore;1
promiň;scusa;1
dům;casa;1
jídlo;cibo;1
voda;acqua;1
pivo;birra;1
káva;caffè;1
chléb;pane;1
knížka;libro;1
pes;cane;1
kočka;gatto;1
slunce;sole;1
měsíc;luna;1
den;giorno;1
noc;notte;1
milovat;amare;2
pracovat;lavorare;2
škola;scuola;2
učit se;imparare;2
písemně;scritto;2
číst;leggere;2
psát;scrivere;2
mluvit;parlare;2
slyšet;sentire;2
vidět;vedere;2
cestovat;viaggiare;2
koupit;comprare;2
prodávat;vendere;2
přítel;amico;2
láska;amore;2
svoboda;libertà;2
čas;tempo;2
minulost;passato;2
budoucnost;futuro;3
filozofie;filosofia;3
literatura;letteratura;3
věda;scienza;3
politika;politica;3
ekonomie;economia;3
spravedlnost;giustizia;3
štěstí;felicità;3
smutek;tristezza;3
naděje;speranza;3
paměť;memoria;3
identita;identità;3

