@feuilles_de_chene
en;fr
sun;soleil;1
sky;ciel;1
house;maison;1
dog;chien;1
cat;chat;1
apple;pomme;1
book;livre;1
water;eau;1
tree;arbre;1
car;voiture;1
mother;mère;1
father;père;1
child;enfant;1
hand;main;1
foot;pied;1
head;tête;1
mouth;bouche;1
nose;nez;1
ear;oreille;1
red;rouge;1
blue;bleu;1
green;vert;1
yellow;jaune;1
black;noir;1
white;blanc;1
big;grand;1
small;petit;1
hot;chaud;1
cold;froid;1

happy;heureux;2
sad;triste;2
friend;ami;2
school;école;2
city;ville;2
mountain;montagne;2
river;fleuve;2
food;nourriture;2
work;travail;2
music;musique;2
love;amour;2
hate;haine;2
beautiful;beau;2
ugly;laid;2
fast;rapide;2
slow;lent;2
new;nouveau;2
old;vieux;2
good;bon;2
bad;mauvais;2
light;lumière;2
dark;sombre;2
time;temps;2
day;jour;2
night;nuit;2
morning;matin;2
evening;soir;2

liberty;liberté;3
justice;justice;3
philosophy;philosophie;3
government;gouvernement;3
environment;environnement;3
technology;technologie;3
communication;communication;3
literature;littérature;3
science;science;3
civilization;civilisation;3
history;histoire;3
future;avenir;3
memory;mémoire;3
intelligence;intelligence;3
knowledge;connaissance;3
culture;culture;3
society;société;3
economy;économie;3
politics;politique;3
religion;religion;3
art;art;3
health;santé;3
education;éducation;3
freedom;liberté;3
peace;paix;3
war;guerre;3
hope;espoir;3
dream;rêve;3
truth;vérité;3

