es;de
cielo;Himmel;1
gato;Katze;1
casa;Haus;1
escuela;Schule;1
auto;Auto;1
ventana;Fenster;2
escribir;schreiben;2
leer;lesen;2
mesa;Tisch;2
silla;Stuhl;2
avión;Flugzeug;2
bosque;Wald;3
mar;Meer;3
camino;Weg;3
playa;Strand;3
montaña;Berg;3
habitación;Zimmer;1
amigo;Freund;1
flor;Blume;1
árbol;Baum;1
perro;Hund;1
gato;Katze;1
puerta;Tür;1
ventana;Fenster;1
ciudad;Stadt;2
pueblo;Dorf;2
manzana;Apfel;2
queso;Käse;2
pan;Brot;2
estrella;Stern;2
sol;Sonne;2
nube;Wolke;2
viento;Wind;2
mujer;Frau;2
hombre;Mann;2
niño;Junge;2
luna;Mond;2
libro;Buch;2
avión;Flugzeug;2
viaje;Reise;2
música;Musik;2
estación;Jahreszeit;2
invierno;Winter;2
verano;Sommer;2
otoño;Herbst;2
primavera;Frühling;2
subida;Anstieg;3
bajada;Abstieg;3
cascada;Wasserfall;3
río;Fluss;3
lago;See;3
mar;Meer;3
playa;Strand;3
suelo;Boden;3
camino;Weg;3
puente;Brücke;3
túnel;Tunnel;3
luz;Licht;3
oscuro;dunkel;3
sombra;Schatten;3
sombrero;Hut;3
cohete;Rakete;3
bicicleta;Fahrrad;2
moto;Motorrad;2
motor;Motor;2
coche;Auto;2
teléfono;Telefon;2
ordenador;Computer;2
internet;Internet;2
radio;Radio;2
televisión;Fernsehen;2
cámara;Kamera;2
estación;Bahnhof;2
pastel;Kuchen;2
panadería;Bäckerei;2
chocolate;Schokolade;2
azúcar;Zucker;2
sal;Salz;2
pimienta;Pfeffer;2
carne;Fleisch;2
verdura;Gemüse;2
fruta;Frucht;2
queso;Käse;2
bebida;Getränk;2
vino;Wein;3
agua;Wasser;3
sopa;Suppe;2
ensalada;Salat;2
almuerzo;Mittagessen;2
desayuno;Frühstück;2
cena;Abendessen;2
