@feuilles_de_chene
fr;it
ciel;cielo;1
chat;gatto;1
maison;casa;1
école;scuola;1
voiture;auto;1
fenêtre;finestra;2
écrire;scrivere;2
lire;leggere;2
table;tabella;2
bureau;scrivania;2
avion;aereo;2
forêt;foresta;3
mer;mare;3
chemin;sentiero;3
plage;spiaggia;3
montagne;montagna;3
chambre;camera;1
ami;amico;1
fleur;fiore;1
arbre;albero;1
chien;cane;1
chatte;gatta;1
porte;porta;1
fenêtre;finestra;1
ville; città;2
village;villaggio;2
pomme;mela;2
fromage;formaggio;2
pain;pane;2
étoile;stella;2
soleil;sole;2
nuage;nuvola;2
vent;vento;2
femme;donna;2
homme;uomo;2
enfant;bambino;2
lune;luna;2
livre;libro;2
avion;aereo;2
voyage;viaggio;2
musique;musica;2
saison;stagione;2
hiver;inverno;2
été;estate;2
automne;autunno;2
printemps;primavera;2
montée;salita;3
descente;discesa;3
cascade;cascata;3
rivière;fiume;3
lac;laghetto;3
mer;mare;3
plage;spiaggia;3
sol;suolo;3
route;strada;3
chemin;sentiero;3
pont;ponte;3
tunnel;galleria;3
lumière;luce;3
sombre;scuro;3
ombre;ombra;3
ombrelle;ombrello;3
voiture;macchina;2
bicyclette;bicicletta;2
moteur;motore;2
vélo;bicicletta;2
téléphone;telefono;2
ordinateur;computer;2
internet;internet;2
radio;radio;2
télévision;televisione;2
caméra;macchina fotografica;2
station;stazione;2
gâteau;torta;2
pâtisserie;pasticceria;2
chocolat;cioccolato;2
sucre;zucchero;2
sel;sale;2
poivre;pepe;2
viande;carne;2
légume;verdura;2
fruit;frutto;2
fromage;formaggio;2
boisson;bevanda;2
vin;vino;3
eau;acqua;3
soupe;zuppa;2
salade;insalata;2
dîner;cena;2
déjeuner;pranzo;2
petit-déjeuner;colazione;2

